"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";
"1";"0.1K";"R_R0603";"R0603";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"10118193-0001LF";"10118193-0001LF";"101181930001LF";"J1";"USB Connectors 5P MICRO USB TYPE B RECEPTACLE W/ PEGS";"USB Connectors 5P MICRO USB TYPE B RECEPTACLE W/ PEGS";"3.3mm";"Amphenol Communication Solutions";"10118193-0001LF";"649-10118193-0001LF";"https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10118193-0001LF?qs=Ywefl8B65e63Nsqd%252B8HZaQ%3D%3D";
"2";"1K";"R_R0603";"R0603";"R3, R4";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"ASMB-MTB0-0A3A2";"ASMB-MTB0-0A3A2";"ASMBMTB00A3A2";"LED1";"LED Tri-Color Blue/Green/Red 465nm/522nm/634nm Chip LED 4-Pin PLCC - Tape and Reel";"LED Tri-Color Blue/Green/Red 465nm/522nm/634nm Chip LED 4-Pin PLCC - Tape and Reel";"1.9mm";"Avago Technologies";"ASMB-MTB0-0A3A2";"630-ASMB-MTB0-0A3A2";"https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/ASMB-MTB0-0A3A2?qs=ToP8pWlZ0bPcx4XpibrdbA%3D%3D";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";"";"";"";"";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U1";"";"";"";"";"";"";"";
"2";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"POTLEFT, POTRIGHT";"Potentiometer - Examples:";"";"";"";"";"";"";
"2";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"COLORCHANGE, RESETBUTTON";"";"";"";"";"";"";"";
"1";"SPI_LCD";"SPI_LCD";"TFT_LCD_PCB";"J2";"";"";"";"";"";"";"";
